ID,ssf,pcBfat,lbm,ht,wt,sex,sport
1,109.1,19.75,63.32,195.9,78.9,f,B_Ball
2,102.8,21.3,58.55,189.7,74.4,f,B_Ball
3,104.6,19.88,55.36,177.8,69.1,f,B_Ball
4,126.4,23.66,57.18,185,74.9,f,B_Ball
5,80.3,17.64,53.2,184.6,64.6,f,B_Ball
6,75.2,15.58,53.77,174,63.7,f,B_Ball
7,87.2,19.99,60.17,186.2,75.2,f,B_Ball
8,97.9,22.43,48.33,173.8,62.3,f,B_Ball
9,75.1,17.95,54.57,171.4,66.5,f,B_Ball
10,65.1,15.07,53.42,179.9,62.9,f,B_Ball
11,171.1,28.83,68.53,193.4,96.3,f,B_Ball
12,76.8,18.08,61.85,188.7,75.5,f,B_Ball
13,117.8,23.3,48.32,169.1,63,f,B_Ball
14,90.2,17.71,66.24,177.9,80.5,f,Row
15,97.2,18.77,57.92,177.5,71.3,f,Row
16,99.9,19.83,56.52,179.6,70.5,f,Row
17,125.9,25.16,54.78,181.3,73.2,f,Row
18,69.9,18.04,56.31,179.7,68.7,f,Row
19,98,21.79,62.96,185.2,80.5,f,Row
20,96.8,22.25,56.68,177.3,72.9,f,Row
21,80.3,16.25,62.39,179.3,74.5,f,Row
22,74.9,16.38,63.05,175.3,75.4,f,Row
23,83,19.35,56.05,174,69.5,f,Row
24,91,19.2,53.65,183.3,66.4,f,Row
25,76.2,17.89,65.45,184.7,79.7,f,Row
26,52.6,12.2,64.62,180.2,73.6,f,Row
27,111.1,23.7,60.05,180.2,78.7,f,Row
28,110.7,24.69,56.48,176,75,f,Row
29,74.7,16.58,41.54,156,49.8,f,Row
30,113.5,21.47,52.78,179.7,67.2,f,Row
31,99.8,20.12,52.72,180.9,66,f,Row
32,80.3,17.51,61.29,179.5,74.3,f,Row
33,109.5,23.7,59.59,178.9,78.1,f,Row
34,123.6,22.39,61.7,182.1,79.5,f,Row
35,91.2,20.43,62.46,186.3,78.5,f,Row
36,49,11.29,53.14,176.8,59.9,f,Netball
37,110.2,25.26,47.09,172.6,63,f,Netball
38,89,19.39,53.44,176,66.3,f,Netball
39,98.3,19.63,48.78,169.9,60.7,f,Netball
40,122.1,23.11,56.05,183,72.9,f,Netball
41,90.4,16.86,56.45,178.2,67.9,f,Netball
42,106.9,21.32,53.11,177.3,67.5,f,Netball
43,156.6,26.57,54.41,174.1,74.1,f,Netball
44,101.1,17.93,55.97,173.6,68.2,f,Netball
45,126.4,24.97,51.62,173.7,68.8,f,Netball
46,114,22.62,58.27,178.7,75.3,f,Netball
47,70,15.01,57.28,183.3,67.4,f,Netball
48,77,18.14,57.3,174.4,70,f,Netball
49,148.9,26.78,54.18,173.3,74,f,Netball
50,80.1,17.22,42.96,168.6,51.9,f,Netball
51,156.6,26.5,54.46,174,74.1,f,Netball
52,115.9,23.01,57.2,176,74.3,f,Netball
53,181.7,30.1,54.38,172.2,77.8,f,Netball
54,71.6,13.93,57.58,182.7,66.9,f,Netball
55,143.5,26.65,61.46,180.5,83.8,f,Netball
56,200.8,35.52,53.46,179.8,82.9,f,Netball
57,68.9,15.59,54.11,179.6,64.1,f,Netball
58,103.6,19.61,55.35,171.7,68.8,f,Netball
